Role,Companies,Location,Experience,Skills,Company Size,Eligibility Criteria,Enrollment Type,Salary,Min Salary,Max Salary,Min Experience
Machine Learning Engineer,Aizant Global Analytics Pvt Ltd,Hyderabad,4-7 Yrs,Tensorflow\nANN\nC++\nCNN\nC\ndatamining\nArtificial Intelligence\nNeural Networks,50,PG/Phd,Full Time,1600000-19000000,1600000,19000000,4
Data Scientist,AlgoAnalytics,Pune,1-3 Yrs,NLP\nComputerVision\nDeepLearning\n MachineLearning,500,UG,Full Time,NA,#VALUE!,#VALUE!,1
Data Scientist,AlgonoX Technologies,Hyderabad,2-5 Yrs,Data Science\nJava\nC++\nDocker\nArtificial Intelligence\nImage Processing\nText Analytics\nNatural Language Processing,100,UG/PG,Full Time,NA,#VALUE!,#VALUE!,2
Data Scientist,Aliqan Services Private Limited,Other National Locations,5-10 Yrs,IT Skills\nPython\nBig Data\nwork from home\npysyft\nData Science\nDjango\nBig Data,100,PG/Phd,Full Time,1200000-2100000,1200000,2100000,5
Data Scientist,ALLERIN TECHNOLOGIES Pvt Ltd.,Mumbai,2-7 Yrs,Computer science\nData analysis\nTracking\nMachine learning\nTools\nData collection\nMSC\nData mining,350,UG/PG,Full Time,600000-900000,600000,900000,2
Data Scientist,ALLERIN TECHNOLOGIES Pvt Ltd.,"Navi Mumbai, Mumbai",2-7 Yrs,Computer science\nData analysis\nMachine learning\nData collection\nPredictive modeling\nData mining\nbig data\nMATLAB,350,UG/PG,Full Time,800000-1400000,800000,1400000,2
Data Analyst,Alp Consulting Ltd.,Delhi,4-7 Yrs,Python\nMachineLearning\nDataAnalysis\nNLP\nTensorflow\nDeepLearning,778,UG/PG,Full Time,500000-1300000,500000,1300000,4
Data Scientist,Alpha ICT LLP.,Pune,5-7 Yrs,Computer science\nBusiness objects\nData analysis\nGoogle Analytics\nMachine learning\nTIBCO\nData structures\nFirmware,200,PG/Phd,Full Time,600000-1500000,600000,1500000,5
Python Developer,Amar Technolabs private Ltd,Ahmedabad,0-5 Yrs,ArtificialIntelligence\nMachineLearning\nSQL\nWebDevelopement\nPython\nFlutter\nBigData\nFullStackDev,50,UG/PG,Full Time,100000-500000,100000,500000,0
Applied Scientist - Intern,Amazon India Software Dev Centre Pvt Ltd,Bengaluru,0-2 Yrs,com\nrest\ndevelopment\nc\nsoftware\ndeveloping\nPerl\nCustomer service,100000,UG,Full Time,1200000-1550000,1200000,1550000,0
Software Engineer,Amazon India Software Dev Centre Pvt Ltd,Bengaluru,1-5 Yrs,Computer science\nObject oriented design\nPublishing\nAnalytical\nMachine learning\nData structures\nTechnology solutions\nData mining,100000,UG/PG,Full Time,950000-1300000,950000,1300000,1
Machine Learning Engineer,Amazon,Bengaluru,7-12 years,MachineLearning\nPython,798000,Any Graduate,"Full Time, Permanent",450000-650000,450000,650000,7
Data Scientist,AmyLogic,Bengaluru,4-5 Yrs,technical\nsoftware\nMPP\ntools\nsql\nanalytics\nweb\nMySQL,200,PG/Phd,Full Time,1500000-2100000,1500000,2100000,4
Data Scientist,AmyLogic,Jaipur,4-6 Yrs,Algorithms\nSAS\nWeb analytics\nMySQL\nTools\nJ2Ee\nInformatica\nOracle,200,PG/Phd,Full Time,1800000-2300000,1800000,2300000,4
Data Scientist,Analytics Quotient,Bengaluru,4-9 Yrs,Computer science\nCluster analysis\nPrototype\nNeural networks\nAnalytical\nMachine learning\nMathematics\nResearch,500,PG/Phd,Full Time,1600000-2100000,1600000,2100000,4
Data Analyst,Analytics Vidhya Educon Pvt. Ltd,Noida,0-4 Yrs,data science\nManager Technology\nHTML\nMathematics\nData Analyst\nSPSS\nStatistics\nAnalytics,1500,UG/PG,Full Time,600000-1000000,600000,1000000,0
Data Analyst,Analytics Vidhya Educon Pvt. Ltd,Chennai,5-10 Yrs,Analyst\nSAS R\nAuthor\nHTML\nAnalytics\nAndroid\nPython,1500,PG/Phd,Full Time,NA,#VALUE!,#VALUE!,5
Data Analyst,Analytics Vidhya Educon Pvt. Ltd,Mumbai,10-15 Yrs,MS SQL\nExcel\ndata science\nFinancial reporting\nRDBMS\nDatabase design\nAnalytical\nHTML,1500,PG/Phd,Full Time,1200000-1500000,1200000,1500000,10
Data Analyst,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,8-13 Yrs,Computer science\nNeural networks\nArtificial Intelligence\nMachine learning\nAlgorithm development\nHTML\nNatural language processing\nPattern recognition,1500,Phd,Full Time,700000-1500000,700000,1500000,8
